ingredient_id,vendor_id,purchase_date,unit_weight,unit_count,total_price
1,2,10/10/2014 11:00:00,800,1,80
6,4,16/10/2014 11:00:00,250,4,392
8,4,16/10/2014 11:00:00,600,2,320
9,4,16/10/2014 11:00:00,3408,1,148
11,2,10/10/2014 11:00:00,250,1,178
11,4,16/10/2014 11:00:00,250,10,2000
12,5,07/10/2014 11:00:00,,,580
13,2,10/10/2014 11:00:00,500,1,100
14,5,07/10/2014 11:00:00,3000,,150
15,5,07/10/2014 11:00:00,1080,6,240
16,5,07/10/2014 11:00:00,540,3,120
17,5,07/10/2014 11:00:00,830,6,300
18,5,07/10/2014 11:00:00,700,1,80
19,1,24/10/2014 11:00:00,1000,1,68
21,5,07/10/2014 11:00:00,,1,120
22,5,07/10/2014 11:00:00,,1,120
23,5,07/10/2014 11:00:00,2000,1,140
24,1,10/10/2014 11:00:00,90,1,100
25,1,10/10/2014 11:00:00,300,4,10.2
26,3,01/10/2014 11:00:00,1000,1,800
27,3,01/10/2014 11:00:00,1000,1,400
28,3,01/10/2014 11:00:00,1000,1,400
29,3,01/10/2014 11:00:00,1000,1,300
30,3,01/10/2014 11:00:00,1000,1,700
32,3,01/10/2014 11:00:00,1000,1,300
36,1,10/10/2014 11:00:00,500,1,89
37,1,10/10/2014 11:00:00,1500,1,110
38,1,10/10/2014 11:00:00,1500,1,110
39,1,10/10/2014 11:00:00,500,8,632
40,1,10/10/2014 11:00:00,500,9,1071
41,1,10/10/2014 11:00:00,500,6,714
42,2,10/10/2014 11:00:00,71,1,100
43,2,10/10/2014 11:00:00,5000,1,799
44,2,10/10/2014 11:00:00,700,2,598
45,2,10/10/2014 11:00:00,520,1,499
46,2,10/10/2014 11:00:00,380,2,438
47,2,10/10/2014 11:00:00,430,1,375
48,2,10/10/2014 11:00:00,500,2,1390
49,2,10/10/2014 11:00:00,1500,1,115
50,2,10/10/2014 11:00:00,430,3,535
51,2,10/10/2014 11:00:00,420,1,375
52,2,10/10/2014 11:00:00,500,2,550
53,2,10/10/2014 11:00:00,410,2,498
54,2,10/10/2014 11:00:00,600,1,979
55,4,16/10/2014 11:00:00,500,1,200
56,4,16/10/2014 11:00:00,400,10,550
57,4,16/10/2014 11:00:00,390,10,550
58,4,16/10/2014 11:00:00,400,11,605
59,4,16/10/2014 11:00:00,500,20,860
60,4,16/10/2014 11:00:00,200,6,240
61,4,16/10/2014 11:00:00,312,3,477
62,4,16/10/2014 11:00:00,300,4,396
63,1,10/10/2014 11:00:00,454,1,65
64,2,10/10/2014 11:00:00,2650,4,1140
65,2,10/10/2014 11:00:00,5000,2,670
66,2,10/10/2014 11:00:00,4500,4,3596
67,2,10/10/2014 11:00:00,6000,2,2178
68,2,10/10/2014 11:00:00,6000,1,1089
69,2,10/10/2014 11:00:00,2450,1,1539
70,2,10/10/2014 11:00:00,2550,2,518
71,1,10/10/2014 11:00:00,275,1,98
72,1,10/10/2014 11:00:00,180,1,118
